lang,synthesis
apah1238,1.778
arap1274,2.488
bain1259,2.665
beja1238,2.503
bora1263,2.582
cabe1245,1.629
cash1254,1.794
dolg1241,2.315
even1259,2.68
goem1240,1.316
goro1270,1.582
hoch1243,2.232
jeha1242,1.545
jeju1234,2.073
kaka1265,1.355
kama1351,2.122
komn1238,2.194
movi1243,1.978
ngal1292,3.268
nisv1234,1.776
nngg1234,1.285
nort2641,1.671
nort2875,1.847
orko1234,1.288
pnar1238,1.51
port1286,1.169
ruul1235,2.847
sanz1248,2.676
savo1255,1.766
sout2856,1.695
sout3282,1.219
sumi1235,2.413
taba1259,2.372
teop1238,1.355
texi1237,2.769
toto1304,2.091
trin1278,3.24
urum1249,2.324
vera1241,1.403
